gender;age;bmi_3;bmi_5;bmi_10;bmi_25;bmi_50;bmi_75;bmi_85;bmi_90;bmi_95;bmi_97
M;15.375;16.39519;16.74687;17.33734;18.48696;20.09172;22.226;23.70758332;24.90488595;27.08511234;28.86590125
M;15.45833333;16.44203;16.79503;17.38763;18.54102;20.15017;22.28837;23.77118654;24.96848498;27.14615643;28.92216908
M;15.54166667;16.48892;16.84323;17.43794;18.5951;20.20858;22.35061;23.83459013;25.03182226;27.20682538;28.97798172
M;15.625;16.53583;16.89146;17.48827;18.64916;20.26694;22.41272;23.89779468;25.09490311;27.2671356;29.03336709
M;15.70833333;16.58276;16.93969;17.53861;18.70321;20.32524;22.47469;23.96080104;25.15773327;27.32710417;29.08835404
M;15.79166667;16.62969;16.98792;17.58893;18.75723;20.38346;22.53652;24.02361032;25.22031884;27.38674888;29.14297232
M;15.875;16.67661;17.03615;17.63924;18.81121;20.44162;22.59821;24.08622386;25.28266636;27.4460882;29.19725256
M;15.95833333;16.72351;17.08434;17.68951;18.86514;20.49968;22.65976;24.14864327;25.34478272;27.50514126;29.25122631
M;16.04166667;16.77038;17.1325;17.73974;18.919;20.55765;22.72115;24.21087038;25.40667527;27.56392793;29.30492601
M;16.125;16.8172;17.18061;17.78991;18.97279;20.61551;22.78239;24.2729073;25.46835171;27.62246873;29.35838499
M;16.20833333;16.86396;17.22865;17.84001;19.0265;20.67326;22.84346;24.33475639;25.52982017;27.68078489;29.41163748
M;16.29166667;16.91065;17.27662;17.89003;19.08011;20.73089;22.90438;24.39641931;25.59108848;27.73889854;29.46472007
M;16.375;16.95725;17.3245;17.93995;19.13361;20.78839;22.96514;24.4579009;25.65216707;27.79683185;29.51766572
M;16.45833333;17.00375;17.37229;17.98977;19.187;20.84574;23.02572;24.51920324;25.71306451;27.85460837;29.57051295
M;16.54166667;17.05015;17.41995;18.03947;19.24025;20.90294;23.08614;24.58032971;25.77379055;27.91225209;29.62329955
M;16.625;17.09642;17.46749;18.08904;19.29335;20.95999;23.14638;24.64128395;25.83435539;27.96978771;29.67606419
M;16.70833333;17.14256;17.51489;18.13846;19.3463;21.01686;23.20645;24.70206989;25.89476963;28.02724061;29.72884644
